NAME	TYPE	RESOURCE GROUP	LOCATION	SUBSCRIPTION	SKU
administracion-licencias	App Service	apisclientes	East US	BioNuclear Azure CSP	
administracion-licencias-api	App Service	apisclientes	East US	BioNuclear Azure CSP	
ambientes	App Service	ambientes_group	East US	BioNuclear Azure CSP	
api-ars-autorizaciones-labplusonline	App Service	apisclientes	East US	BioNuclear Azure CSP	
api-integracion-produccion	App Service	apisclientes	East US	BioNuclear Azure CSP	
api-interface-preproduccion	App Service	labplus-azure	East US	BioNuclear Azure CSP	
api-interface-produccion	App Service	apisclientes	East US	BioNuclear Azure CSP	
api-labplusonline-integracion-apps	App Service	apisclientes	East US	BioNuclear Azure CSP	
api-reportes	App Service	apisclientes	East US	BioNuclear Azure CSP	
api-reportes-dev	App Service	desarrollo	East US	BioNuclear Azure CSP	
apipreproduccionintegracion	App Service	desarrollo	East US	BioNuclear Azure CSP	
cedisa-labplusonline	App Service	labplusonline	East US	BioNuclear Azure CSP	
cliente-actualizacion	App Service	labplusonline	East US	BioNuclear Azure CSP	
corominas	App Service	labplusonline	East US	BioNuclear Azure CSP	
desarollo-portal-paciente-integracion	App Service	portal_paciente_desarollo	East US	BioNuclear Azure CSP	
desarrollo-portal-labplus	App Service	portal_paciente_desarollo	East US	BioNuclear Azure CSP	
desarrollo-portal-pacientes	App Service	portal_paciente_desarollo	East US	BioNuclear Azure CSP	
desarrollo-portal-pacientes-api	App Service	portal_paciente_desarollo	East US	BioNuclear Azure CSP	
dev-api-integracion	App Service	desarrollo	East US	BioNuclear Azure CSP	
dev-interface-api	App Service	desarrollo	East US	BioNuclear Azure CSP	
labplusonline	App Service	desarrollo	East US	BioNuclear Azure CSP	
labplusonline-admin	App Service	labplus-azure	East US	BioNuclear Azure CSP	
labplusonline-admin-api	App Service	labplus-azure	East US	BioNuclear Azure CSP	
LabplusOnlineV2-Laboratorio-Facturacion-no-24	App Service	labplusonline	East US	BioNuclear Azure CSP	
LabplusOnlineV2-Nefrologia-Facturacion	App Service	labplusonline	East US	BioNuclear Azure CSP	
LabplusOnlineV2-Produccion	App Service	labplusonline	East US	BioNuclear Azure CSP	
portal-paciente-corominas	App Service	portal-pacientes	East US	BioNuclear Azure CSP	
portal-pacientes	App Service	portal-pacientes	East US	BioNuclear Azure CSP	
portal-pacientes-api	App Service	portal-pacientes	East US	BioNuclear Azure CSP	
portal-pacientes-integracion	App Service	portal-pacientes	East US	BioNuclear Azure CSP	
preproduccion-autorizaciones	App Service	desarrollo	East US	BioNuclear Azure CSP	
preproduccion-integracion-apps-api	App Service	desarrollo	East US	BioNuclear Azure CSP	
reportes-prueba	App Service	labplus-azure	East US	BioNuclear Azure CSP	
release (api-ars-autorizaciones-labplusonline/release)	App Service (Slot)	apisclientes	East US	BioNuclear Azure CSP	
release (api-integracion-produccion/release)	App Service (Slot)	apisclientes	East US	BioNuclear Azure CSP	
staging (api-interface-preproduccion/staging)	App Service (Slot)	labplus-azure	East US	BioNuclear Azure CSP	
release (api-interface-produccion/release)	App Service (Slot)	apisclientes	East US	BioNuclear Azure CSP	
pre-staging (api-reportes-dev/pre-staging)	App Service (Slot)	desarrollo	East US	BioNuclear Azure CSP	
staging (api-reportes-dev/staging)	App Service (Slot)	desarrollo	East US	BioNuclear Azure CSP	
prueba-clientes (apipreproduccionintegracion/prueba-clientes)	App Service (Slot)	desarrollo	East US	BioNuclear Azure CSP	
staging (apipreproduccionintegracion/staging)	App Service (Slot)	desarrollo	East US	BioNuclear Azure CSP	
testing (apipreproduccionintegracion/testing)	App Service (Slot)	desarrollo	East US	BioNuclear Azure CSP	
staging (desarollo-portal-paciente-integracion/staging)	App Service (Slot)	portal_paciente_desarollo	East US	BioNuclear Azure CSP	
staging (desarrollo-portal-pacientes-api/staging)	App Service (Slot)	portal_paciente_desarollo	East US	BioNuclear Azure CSP	
staging (desarrollo-portal-pacientes/staging)	App Service (Slot)	portal_paciente_desarollo	East US	BioNuclear Azure CSP	
staging (desarrollo-portal/staging)	App Service (Slot)	portal_paciente_desarollo	East US	BioNuclear Azure CSP	
staging (dev-api-integracion/staging)	App Service (Slot)	desarrollo	East US	BioNuclear Azure CSP	
preproduccion (dev-interface-api/preproduccion)	App Service (Slot)	desarrollo	East US	BioNuclear Azure CSP	
preproduccion (labplusonline-admin-api/preproduccion)	App Service (Slot)	labplus-azure	East US	BioNuclear Azure CSP	
staging (labplusonline-admin-api/staging)	App Service (Slot)	labplus-azure	East US	BioNuclear Azure CSP	
staging (labplusonline-admin/staging)	App Service (Slot)	labplus-azure	East US	BioNuclear Azure CSP	
pre-staging (labplusonline/pre-staging)	App Service (Slot)	desarrollo	East US	BioNuclear Azure CSP	
preproduccion (labplusonline/preproduccion)	App Service (Slot)	desarrollo	East US	BioNuclear Azure CSP	
presentacion (labplusonline/presentacion)	App Service (Slot)	desarrollo	East US	BioNuclear Azure CSP	
telerik (labplusonline/telerik)	App Service (Slot)	desarrollo	East US	BioNuclear Azure CSP	
